date,region,river,basin,elevation,temperature,precipitation,snowmelt,river_level,flood_threshold,flood_status,soil_moisture,upstream_dam_level
2018-01-03,Kirov_Dam,Talas,Talas,1090,-9.2,0.0,0.0,0.68,3.8,0,0.0,
2018-01-03,Osh_City,Ak-Buura,Ferghana,940,-13.4,0.0,0.0,0.6,2.4,0,0.0,
2018-01-03,Jalal-Abad_City,Kogart,Ferghana,760,-8.5,0.0,0.0,0.6,2.1,0,0.0,
2018-01-03,Batken_Area,Syr Darya,Ferghana,1050,-13.5,0.0,0.0,0.6,2.6,0,0.0,
2018-01-03,Arslanbob_Valley,Arslanbob,Ferghana,1600,-15.8,0.0,0.0,0.6,1.7,0,0.0,
2018-01-03,Song-Kul_Lake,Son-Kul,Naryn,3016,-15.7,0.0,0.0,0.74,1.2,0,0.0,
2018-01-03,Sary-Chelek_Lake,Kojo-Ata,Western Tien Shan,1940,-18.5,0.0,0.0,0.6,1.4,0,0.0,
2018-01-04,Bishkek_City,Ala-Archa,Chu,800,-5.2,0.0,0.0,0.76,2.5,0,0.0,
2018-01-04,Tokmok_Area,Chu,Chu,820,-9.2,0.0,0.0,0.76,2.8,0,0.0,
2018-01-04,Kemin_District,Chon-Kemin,Chu,1300,-12.8,0.0,0.0,0.76,1.8,0,0.0,
2018-01-04,Sokuluk_Valley,Sokuluk,Chu,1100,-10.8,0.0,0.0,0.76,1.7,0,0.0,
2018-01-04,Karakol_City,Karakol,Issyk-Kul,1750,-19.5,0.0,0.0,0.51,1.9,0,0.0,
2018-01-04,Balykchy_Town,Chu,Issyk-Kul,1600,-15.5,0.0,0.0,0.51,2.0,0,0.0,
2018-01-04,Cholpon-Ata_Area,Cholpon-Ata,Issyk-Kul,1610,-12.9,0.0,0.0,0.51,1.6,0,0.0,
2018-01-04,Toktogul_Dam,Naryn,Naryn,870,-14.1,0.0,0.0,0.52,4.5,0,36.54,
2018-01-04,Naryn_City,Naryn,Naryn,2050,-20.9,0.0,0.0,0.52,3.2,0,88.98999999999998,11.555555555555557
2018-01-04,Kazarman_Area,Naryn,Naryn,1300,-14.9,0.0,0.0,0.52,2.8,0,86.98999999999998,11.555555555555557
2018-01-04,Talas_City,Talas,Talas,1280,-14.2,0.0,0.0,0.46,2.3,0,100.0,12.105263157894738
2018-01-04,Kirov_Dam,Talas,Talas,1090,-15.1,0.0,0.0,0.46,3.8,0,98.0,
2018-01-04,Osh_City,Ak-Buura,Ferghana,940,-11.9,0.0,0.0,0.64,2.4,0,100.0,
2018-01-04,Jalal-Abad_City,Kogart,Ferghana,760,-9.9,0.0,0.0,0.64,2.1,0,98.0,
2018-01-04,Batken_Area,Syr Darya,Ferghana,1050,-13.0,0.0,0.0,0.64,2.6,0,96.0,
2018-01-04,Arslanbob_Valley,Arslanbob,Ferghana,1600,-12.0,0.0,0.0,0.64,1.7,0,100.0,
2018-01-04,Song-Kul_Lake,Son-Kul,Naryn,3016,-21.3,0.0,0.0,0.52,1.2,0,100.0,
2018-01-04,Sary-Chelek_Lake,Kojo-Ata,Western Tien Shan,1940,-17.2,0.0,0.0,0.57,1.4,0,98.0,
2018-01-05,Bishkek_City,Ala-Archa,Chu,800,-11.7,0.0,0.0,0.69,2.5,0,100.0,
2018-01-05,Tokmok_Area,Chu,Chu,820,-13.1,0.0,0.0,0.69,2.8,0,100.0,
2018-01-05,Kemin_District,Chon-Kemin,Chu,1300,-12.4,0.0,0.0,0.69,1.8,0,98.0,
2018-01-05,Sokuluk_Valley,Sokuluk,Chu,1100,-9.8,0.0,0.0,0.69,1.7,0,100.0,
2018-01-05,Karakol_City,Karakol,Issyk-Kul,1750,-15.4,0.0,0.0,0.55,1.9,0,100.0,
2018-01-05,Balykchy_Town,Chu,Issyk-Kul,1600,-14.5,0.0,0.0,0.55,2.0,0,100.0,
2018-01-05,Cholpon-Ata_Area,Cholpon-Ata,Issyk-Kul,1610,-17.1,0.0,0.0,0.55,1.6,0,100.0,
2018-01-05,Toktogul_Dam,Naryn,Naryn,870,-10.7,0.0,0.0,0.68,4.5,0,100.0,
2018-01-05,Naryn_City,Naryn,Naryn,2050,-19.2,0.0,0.0,0.68,3.2,0,100.0,15.11111111111111
2018-01-05,Kazarman_Area,Naryn,Naryn,1300,-15.9,0.0,0.0,0.68,2.8,0,98.0,15.11111111111111
2018-01-05,Talas_City,Talas,Talas,1280,-14.0,0.0,0.0,0.58,2.3,0,100.0,15.263157894736842
2018-01-05,Kirov_Dam,Talas,Talas,1090,-12.0,0.0,0.0,0.58,3.8,0,98.0,
2018-01-05,Osh_City,Ak-Buura,Ferghana,940,-14.5,0.0,0.0,0.44,2.4,0,96.0,
2018-01-05,Jalal-Abad_City,Kogart,Ferghana,760,-12.5,0.0,0.0,0.44,2.1,0,100.0,
2018-01-05,Batken_Area,Syr Darya,Ferghana,1050,-15.4,0.0,0.0,0.44,2.6,0,100.0,
2018-01-05,Arslanbob_Valley,Arslanbob,Ferghana,1600,-14.8,0.0,0.0,0.44,1.7,0,98.0,
2018-01-05,Song-Kul_Lake,Son-Kul,Naryn,3016,-21.7,0.0,0.0,0.68,1.2,0,100.0,
2018-01-05,Sary-Chelek_Lake,Kojo-Ata,Western Tien Shan,1940,-19.3,0.0,0.0,0.37,1.4,0,100.0,
2018-01-06,Bishkek_City,Ala-Archa,Chu,800,-10.7,0.0,0.0,0.73,2.5,0,100.0,
2018-01-06,Tokmok_Area,Chu,Chu,820,-11.7,0.0,0.0,0.73,2.8,0,100.0,
2018-01-06,Kemin_District,Chon-Kemin,Chu,1300,-11.6,0.0,0.0,0.73,1.8,0,100.0,
2018-01-06,Sokuluk_Valley,Sokuluk,Chu,1100,-9.4,0.0,0.0,0.73,1.7,0,100.0,
2018-01-06,Karakol_City,Karakol,Issyk-Kul,1750,-15.2,0.0,0.0,0.66,1.9,0,100.0,
2018-01-06,Balykchy_Town,Chu,Issyk-Kul,1600,-12.6,0.0,0.0,0.66,2.0,0,100.0,
2018-01-06,Cholpon-Ata_Area,Cholpon-Ata,Issyk-Kul,1610,-12.2,0.0,0.0,0.66,1.6,0,100.0,
2018-01-06,Toktogul_Dam,Naryn,Naryn,870,-7.3,0.0,0.0,1.01,4.5,0,100.0,
2018-01-06,Naryn_City,Naryn,Naryn,2050,-10.3,0.0,0.0,1.01,3.2,0,100.0,22.444444444444443
2018-01-06,Kazarman_Area,Naryn,Naryn,1300,-7.2,0.0,0.0,1.01,2.8,0,100.0,22.444444444444443
2018-01-06,Talas_City,Talas,Talas,1280,-11.4,0.0,0.0,0.83,2.3,0,97.91,21.842105263157897
2018-01-06,Kirov_Dam,Talas,Talas,1090,-8.2,0.0,0.0,0.83,3.8,0,100.0,
2018-01-06,Osh_City,Ak-Buura,Ferghana,940,-11.2,0.0,0.0,0.6,2.4,0,100.0,
2018-01-06,Jalal-Abad_City,Kogart,Ferghana,760,-13.0,0.0,0.0,0.6,2.1,0,100.0,
2018-01-06,Batken_Area,Syr Darya,Ferghana,1050,-11.7,0.0,0.0,0.6,2.6,0,100.0,
2018-01-06,Arslanbob_Valley,Arslanbob,Ferghana,1600,-14.7,0.0,0.0,0.6,1.7,0,100.0,
2018-01-06,Song-Kul_Lake,Son-Kul,Naryn,3016,-15.6,0.0,0.0,1.01,1.2,0,100.0,
2018-01-06,Sary-Chelek_Lake,Kojo-Ata,Western Tien Shan,1940,-15.8,0.0,0.0,0.87,1.4,0,100.0,
2018-01-07,Bishkek_City,Ala-Archa,Chu,800,-10.4,0.0,0.0,0.69,2.5,0,100.0,
2018-01-07,Tokmok_Area,Chu,Chu,820,-8.2,0.0,0.0,0.69,2.8,0,98.0,
2018-01-07,Kemin_District,Chon-Kemin,Chu,1300,-10.2,0.0,0.0,0.69,1.8,0,100.0,
2018-01-07,Sokuluk_Valley,Sokuluk,Chu,1100,-14.0,0.0,0.0,0.69,1.7,0,100.0,
2018-01-07,Karakol_City,Karakol,Issyk-Kul,1750,-18.5,0.0,0.0,0.3,1.9,0,100.0,
2018-01-07,Balykchy_Town,Chu,Issyk-Kul,1600,-18.5,0.0,0.0,0.3,2.0,0,100.0,
2018-01-07,Cholpon-Ata_Area,Cholpon-Ata,Issyk-Kul,1610,-21.5,0.0,0.0,0.3,1.6,0,100.0,
2018-01-07,Toktogul_Dam,Naryn,Naryn,870,-13.9,0.0,0.0,0.38,4.5,0,100.0,
2018-01-07,Naryn_City,Naryn,Naryn,2050,-21.0,0.0,0.0,0.38,3.2,0,100.0,8.444444444444445
2018-01-07,Kazarman_Area,Naryn,Naryn,1300,-18.1,0.0,0.0,0.38,2.8,0,100.0,8.444444444444445
2018-01-07,Talas_City,Talas,Talas,1280,-11.5,0.0,0.0,0.71,2.3,0,100.0,18.684210526315788
2018-01-07,Kirov_Dam,Talas,Talas,1090,-5.6,0.0,0.0,0.71,3.8,0,100.0,
2018-01-07,Osh_City,Ak-Buura,Ferghana,940,-18.3,0.0,0.0,0.4,2.4,0,100.0,
2018-01-07,Jalal-Abad_City,Kogart,Ferghana,760,-12.9,0.0,0.0,0.4,2.1,0,100.0,
2018-01-07,Batken_Area,Syr Darya,Ferghana,1050,-14.9,0.0,0.0,0.4,2.6,0,100.0,
2018-01-07,Arslanbob_Valley,Arslanbob,Ferghana,1600,-22.8,0.0,0.0,0.4,1.7,0,100.0,
2018-01-07,Song-Kul_Lake,Son-Kul,Naryn,3016,-20.5,0.0,0.0,0.38,1.2,0,100.0,
2018-01-07,Sary-Chelek_Lake,Kojo-Ata,Western Tien Shan,1940,-16.5,0.0,0.0,0.71,1.4,0,100.0,
2018-01-08,Bishkek_City,Ala-Archa,Chu,800,-5.9,0.0,0.0,0.77,2.5,0,100.0,
2018-01-08,Tokmok_Area,Chu,Chu,820,-10.0,0.0,0.0,0.77,2.8,0,100.0,
2018-01-08,Kemin_District,Chon-Kemin,Chu,1300,-7.8,0.0,0.0,0.77,1.8,0,100.0,
2018-01-08,Sokuluk_Valley,Sokuluk,Chu,1100,-8.6,0.0,0.0,0.77,1.7,0,100.0,
2018-01-08,Karakol_City,Karakol,Issyk-Kul,1750,-12.0,0.0,0.0,0.74,1.9,0,100.0,
2018-01-08,Balykchy_Town,Chu,Issyk-Kul,1600,-10.0,0.0,0.0,0.74,2.0,0,100.0,
2018-01-08,Cholpon-Ata_Area,Cholpon-Ata,Issyk-Kul,1610,-13.8,0.0,0.0,0.74,1.6,0,100.0,
2018-01-08,Toktogul_Dam,Naryn,Naryn,870,-8.9,0.0,0.0,0.75,4.5,0,100.0,
2018-01-08,Naryn_City,Naryn,Naryn,2050,-17.5,0.0,0.0,0.75,3.2,0,100.0,16.666666666666664
2018-01-08,Kazarman_Area,Naryn,Naryn,1300,-9.1,0.0,0.0,0.75,2.8,0,100.0,16.666666666666664
2018-01-08,Talas_City,Talas,Talas,1280,-9.9,0.0,0.0,0.91,2.3,0,100.0,23.947368421052634
2018-01-08,Kirov_Dam,Talas,Talas,1090,-8.6,0.0,0.0,0.91,3.8,0,100.0,
2018-01-08,Osh_City,Ak-Buura,Ferghana,940,-13.7,0.0,0.0,0.48,2.4,0,100.0,
2018-01-08,Jalal-Abad_City,Kogart,Ferghana,760,-15.3,0.0,0.0,0.48,2.1,0,100.0,
2018-01-08,Batken_Area,Syr Darya,Ferghana,1050,-11.7,0.0,0.0,0.48,2.6,0,100.0,
2018-01-08,Arslanbob_Valley,Arslanbob,Ferghana,1600,-22.3,0.0,0.0,0.48,1.7,0,100.0,
2018-01-08,Song-Kul_Lake,Son-Kul,Naryn,3016,-21.2,0.0,0.0,0.75,1.2,0,100.0,
2018-01-08,Sary-Chelek_Lake,Kojo-Ata,Western Tien Shan,1940,-12.1,0.0,0.0,0.78,1.4,0,100.0,
2018-01-09,Bishkek_City,Ala-Archa,Chu,800,-12.6,0.0,0.0,0.44,2.5,0,100.0,
2018-01-09,Tokmok_Area,Chu,Chu,820,-14.2,0.0,0.0,0.44,2.8,0,100.0,
2018-01-09,Kemin_District,Chon-Kemin,Chu,1300,-17.4,0.0,0.0,0.44,1.8,0,100.0,
2018-01-09,Sokuluk_Valley,Sokuluk,Chu,1100,-15.0,0.0,0.0,0.44,1.7,0,100.0,
2018-01-09,Karakol_City,Karakol,Issyk-Kul,1750,-14.9,0.0,0.0,0.62,1.9,0,98.01,
2018-01-09,Balykchy_Town,Chu,Issyk-Kul,1600,-11.5,0.0,0.0,0.62,2.0,0,100.0,
2018-01-09,Cholpon-Ata_Area,Cholpon-Ata,Issyk-Kul,1610,-13.7,0.0,0.0,0.62,1.6,0,100.0,
2018-01-09,Toktogul_Dam,Naryn,Naryn,870,-13.0,0.0,0.0,0.59,4.5,0,100.0,
2018-01-09,Naryn_City,Naryn,Naryn,2050,-19.4,0.0,0.0,0.59,3.2,0,94.67,13.111111111111109
2018-01-09,Kazarman_Area,Naryn,Naryn,1300,-13.6,0.0,0.0,0.59,2.8,0,89.13,13.111111111111109
2018-01-09,Talas_City,Talas,Talas,1280,-11.5,0.0,0.0,0.7,2.3,0,100.0,18.421052631578945
2018-01-09,Kirov_Dam,Talas,Talas,1090,-10.0,0.0,0.0,0.7,3.8,0,100.0,
2018-01-09,Osh_City,Ak-Buura,Ferghana,940,-12.9,0.0,0.0,0.39,2.4,0,100.0,
2018-01-09,Jalal-Abad_City,Kogart,Ferghana,760,-15.3,0.0,0.0,0.39,2.1,0,100.0,
2018-01-09,Batken_Area,Syr Darya,Ferghana,1050,-16.4,0.0,0.0,0.39,2.6,0,100.0,
2018-01-09,Arslanbob_Valley,Arslanbob,Ferghana,1600,-17.3,0.0,0.0,0.39,1.7,0,100.0,
2018-01-09,Song-Kul_Lake,Son-Kul,Naryn,3016,-22.6,0.0,0.0,0.59,1.2,0,100.0,
2018-01-09,Sary-Chelek_Lake,Kojo-Ata,Western Tien Shan,1940,-12.0,0.0,0.0,0.68,1.4,0,100.0,
2018-01-10,Bishkek_City,Ala-Archa,Chu,800,-7.5,0.0,0.0,0.8,2.5,0,100.0,
2018-01-10,Tokmok_Area,Chu,Chu,820,-8.0,0.0,0.0,0.8,2.8,0,100.0,
2018-01-10,Kemin_District,Chon-Kemin,Chu,1300,-9.1,0.0,0.0,0.8,1.8,0,100.0,
2018-01-10,Sokuluk_Valley,Sokuluk,Chu,1100,-9.8,0.0,0.0,0.8,1.7,0,98.10000000000001,
2018-01-10,Karakol_City,Karakol,Issyk-Kul,1750,-4.5,0.0,0.0,1.26,1.9,0,100.0,
2018-01-10,Balykchy_Town,Chu,Issyk-Kul,1600,-3.8,0.0,0.0,1.26,2.0,0,100.0,
2018-01-10,Cholpon-Ata_Area,Cholpon-Ata,Issyk-Kul,1610,-2.7,0.0,0.0,1.26,1.6,0,94.61,
2018-01-10,Toktogul_Dam,Naryn,Naryn,870,-8.9,0.0,0.0,0.56,4.5,0,92.11,
2018-01-10,Naryn_City,Naryn,Naryn,2050,-18.9,0.0,0.0,0.56,3.2,0,100.0,12.444444444444445
2018-01-10,Kazarman_Area,Naryn,Naryn,1300,-18.4,0.0,0.0,0.56,2.8,0,100.0,12.444444444444445
2018-01-10,Talas_City,Talas,Talas,1280,-6.8,0.0,0.0,1.02,2.3,0,100.0,26.842105263157894
2018-01-10,Kirov_Dam,Talas,Talas,1090,-4.2,0.0,0.0,1.02,3.8,0,100.0,
2018-01-10,Osh_City,Ak-Buura,Ferghana,940,-15.4,0.0,0.0,0.27,2.4,0,95.19,
2018-01-10,Jalal-Abad_City,Kogart,Ferghana,760,-16.8,0.0,0.0,0.27,2.1,0,100.0,
2018-01-10,Batken_Area,Syr Darya,Ferghana,1050,-16.9,0.0,0.0,0.27,2.6,0,100.0,
2018-01-10,Arslanbob_Valley,Arslanbob,Ferghana,1600,-19.8,0.0,0.0,0.27,1.7,0,100.0,
2018-01-10,Song-Kul_Lake,Son-Kul,Naryn,3016,-21.1,0.0,0.0,0.56,1.2,0,100.0,
2018-01-10,Sary-Chelek_Lake,Kojo-Ata,Western Tien Shan,1940,-20.1,0.0,0.0,0.46,1.4,0,100.0,
2018-01-11,Bishkek_City,Ala-Archa,Chu,800,-12.0,0.0,0.0,0.34,2.5,0,100.0,
2018-01-11,Tokmok_Area,Chu,Chu,820,-17.7,0.0,0.0,0.34,2.8,0,100.0,
2018-01-11,Kemin_District,Chon-Kemin,Chu,1300,-17.8,0.0,0.0,0.34,1.8,0,100.0,
2018-01-11,Sokuluk_Valley,Sokuluk,Chu,1100,-15.4,0.0,0.0,0.34,1.7,0,100.0,
2018-01-11,Karakol_City,Karakol,Issyk-Kul,1750,-12.6,0.0,0.0,0.68,1.9,0,100.0,
2018-01-11,Balykchy_Town,Chu,Issyk-Kul,1600,-11.0,0.0,0.0,0.68,2.0,0,100.0,
2018-01-11,Cholpon-Ata_Area,Cholpon-Ata,Issyk-Kul,1610,-10.5,0.0,0.0,0.68,1.6,0,100.0,
2018-01-11,Toktogul_Dam,Naryn,Naryn,870,-8.2,0.0,0.0,0.72,4.5,0,100.0,
2018-01-11,Naryn_City,Naryn,Naryn,2050,-18.2,0.0,0.0,0.72,3.2,0,100.0,16.0
2018-01-11,Kazarman_Area,Naryn,Naryn,1300,-15.7,0.0,0.0,0.72,2.8,0,100.0,16.0
2018-01-11,Talas_City,Talas,Talas,1280,-9.8,0.0,0.0,0.84,2.3,0,100.0,22.105263157894736
2018-01-11,Kirov_Dam,Talas,Talas,1090,-5.7,0.0,0.0,0.84,3.8,0,100.0,
2018-01-11,Osh_City,Ak-Buura,Ferghana,940,-10.0,0.0,0.0,0.48,2.4,0,100.0,
2018-01-11,Jalal-Abad_City,Kogart,Ferghana,760,-11.9,0.0,0.0,0.48,2.1,0,100.0,
2018-01-11,Batken_Area,Syr Darya,Ferghana,1050,-14.3,0.0,0.0,0.48,2.6,0,100.0,
2018-01-11,Arslanbob_Valley,Arslanbob,Ferghana,1600,-16.6,0.0,0.0,0.48,1.7,0,94.64,
2018-01-11,Song-Kul_Lake,Son-Kul,Naryn,3016,-19.3,0.0,0.0,0.72,1.2,0,100.0,
2018-01-11,Sary-Chelek_Lake,Kojo-Ata,Western Tien Shan,1940,-18.9,0.0,0.0,0.49,1.4,0,100.0,
2018-01-12,Bishkek_City,Ala-Archa,Chu,800,-14.3,0.0,0.0,0.55,2.5,0,100.0,
2018-01-12,Tokmok_Area,Chu,Chu,820,-13.1,0.0,0.0,0.55,2.8,0,100.0,
2018-01-12,Kemin_District,Chon-Kemin,Chu,1300,-16.9,0.0,0.0,0.55,1.8,0,100.0,
2018-01-12,Sokuluk_Valley,Sokuluk,Chu,1100,-12.6,0.0,0.0,0.55,1.7,0,100.0,
2018-01-12,Karakol_City,Karakol,Issyk-Kul,1750,-18.5,0.0,0.0,0.53,1.9,0,100.0,
2018-01-12,Balykchy_Town,Chu,Issyk-Kul,1600,-17.5,0.0,0.0,0.53,2.0,0,100.0,
2018-01-12,Cholpon-Ata_Area,Cholpon-Ata,Issyk-Kul,1610,-17.9,0.0,0.0,0.53,1.6,0,100.0,
2018-01-12,Toktogul_Dam,Naryn,Naryn,870,-15.2,0.0,0.0,0.32,4.5,0,100.0,
2018-01-12,Naryn_City,Naryn,Naryn,2050,-22.7,0.0,0.0,0.32,3.2,0,100.0,7.111111111111111
2018-01-12,Kazarman_Area,Naryn,Naryn,1300,-18.5,0.0,0.0,0.32,2.8,0,100.0,7.111111111111111
2018-01-12,Talas_City,Talas,Talas,1280,-18.5,0.0,0.0,0.23,2.3,0,94.76,6.052631578947369
2018-01-12,Kirov_Dam,Talas,Talas,1090,-20.6,0.0,0.0,0.23,3.8,0,100.0,
2018-01-12,Osh_City,Ak-Buura,Ferghana,940,-12.2,0.0,0.0,0.47,2.4,0,93.45,
2018-01-12,Jalal-Abad_City,Kogart,Ferghana,760,-12.2,0.0,0.0,0.47,2.1,0,100.0,
2018-01-12,Batken_Area,Syr Darya,Ferghana,1050,-14.6,0.0,0.0,0.47,2.6,0,100.0,
2018-01-12,Arslanbob_Valley,Arslanbob,Ferghana,1600,-13.7,0.0,0.0,0.47,1.7,0,100.0,
2018-01-12,Song-Kul_Lake,Son-Kul,Naryn,3016,-26.6,0.0,0.0,0.32,1.2,0,94.04,
2018-01-12,Sary-Chelek_Lake,Kojo-Ata,Western Tien Shan,1940,-22.7,0.0,0.0,0.2,1.4,0,100.0,
2018-01-13,Bishkek_City,Ala-Archa,Chu,800,-12.5,0.0,0.0,0.44,2.5,0,100.0,
2018-01-13,Tokmok_Area,Chu,Chu,820,-12.6,0.0,0.0,0.44,2.8,0,100.0,
2018-01-13,Kemin_District,Chon-Kemin,Chu,1300,-15.8,0.0,0.0,0.44,1.8,0,93.98,
2018-01-13,Sokuluk_Valley,Sokuluk,Chu,1100,-12.8,0.0,0.0,0.44,1.7,0,100.0,
2018-01-13,Karakol_City,Karakol,Issyk-Kul,1750,-9.2,0.0,0.0,0.9,1.9,0,100.0,
2018-01-13,Balykchy_Town,Chu,Issyk-Kul,1600,-11.2,0.0,0.0,0.9,2.0,0,100.0,
2018-01-13,Cholpon-Ata_Area,Cholpon-Ata,Issyk-Kul,1610,-12.8,0.0,0.0,0.9,1.6,0,100.0,
2018-01-13,Toktogul_Dam,Naryn,Naryn,870,-18.1,0.0,0.0,0.1,4.5,0,94.22,
2018-01-13,Naryn_City,Naryn,Naryn,2050,-29.0,0.0,0.0,0.1,3.2,0,100.0,2.2222222222222223
2018-01-13,Kazarman_Area,Naryn,Naryn,1300,-21.5,0.0,0.0,0.1,2.8,0,94.46,2.2222222222222223
2018-01-13,Talas_City,Talas,Talas,1280,-17.9,0.0,0.0,0.34,2.3,0,86.94,8.947368421052634
2018-01-13,Kirov_Dam,Talas,Talas,1090,-17.7,0.0,0.0,0.34,3.8,0,99.42,
2018-01-13,Osh_City,Ak-Buura,Ferghana,940,-16.4,0.0,0.0,0.26,2.4,0,96.68,
2018-01-13,Jalal-Abad_City,Kogart,Ferghana,760,-14.1,0.0,0.0,0.26,2.1,0,97.97000000000001,
2018-01-13,Batken_Area,Syr Darya,Ferghana,1050,-14.9,0.0,0.0,0.26,2.6,0,100.0,
